,Name,Year,Genres,Rating,Duration,Actors,Director,Average Rating,Budget,Opening Weekend,Gross US,Gross WW,Language,Production Company
967,G-Force,2009,[],P, 88,[],NA,5.1,150000000,31706934,119436770,292817841,['English'],"['JerryBruckheimerFilms', 'WaltDisneyPictures', 'WhamaphramProductions']"
968,Ghosts of Girlfriends Past,2009,"['Comedy', 'Fantasy', 'Romance']",P,NA,"['Matthew McConaughey', 'Jennifer Garner', 'Emma Stone', 'Michael Douglas']",Mark Waters,5.8,37500000,15411434,55250026,102223269,"['English', 'Japanese', 'Chinese', 'Spanish']","['JonShestackProductions', 'NewLineCinema', 'Panther']"
969,Inkheart,2008,"['Adventure', 'Family', 'Fantasy']",P,106,"['Brendan Fraser', 'Andy Serkis', 'Eliza Bennett', 'Sienna Guillory']",Iain Softley,6.1,60000000,7601379,17303424 9 April 2009,57490374 3 May 2009,['English'],"['NewLineCinema', 'InternationaleFilmproduktionBlackbirdErste']"
970,The International,2009,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",R,118,"['Clive Owen', 'Naomi Watts', 'Armin Mueller-Stahl', 'Ulrich Thomsen']",Tom Tykwer,6.5,50000000,10702613,25450527 22 March 2009,NA,"['English', 'Italian', 'French', 'Danish']","['ColumbiaPicturesCorporation', 'RelativityMedia', 'AtlasEntertainment']"
971,The Taking of Pelham 123,2009,[],R,106,[],NA,6.4,100000000,23373102,65452312,150166126,"['English', 'Ukrainian']","['ColumbiaPicturesCorporation', 'Metro-Goldwyn-Mayer(MGM)', 'RelativityMedia']"
972,Underworld: Rise of the Lycans,2009,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",R, 92,"['Rhona Mitra', 'Michael Sheen', 'Bill Nighy', 'Steven Mackintosh']",Patrick Tatopoulos,6.6,35000000,20828511,45802315 1 March 2009,91353501 1 March 2009,['English'],"['ScreenGems', 'LakeshoreEntertainment', 'LakeshoreEntertainment']"
973,Daybreakers,2009,[],R, 98,[],NA,6.5,20000000,15146692,30101577 11 February 2010,51416464 11 February 2010,['English'],"['Lionsgate', 'AustralianFilmFinanceCorporation(AFFC)', 'PicturesinParadise']"
974,Brothers,2009,"['Drama', 'War']",R,105,"['Jake Gyllenhaal', 'Natalie Portman', 'Tobey Maguire', 'Sam Shepard']",Jim Sheridan,7.1,26000000,9527848,28501651 17 January 2010,43318349 5 July 2012,['English'],"['Lionsgate', 'RelativityMedia', 'SighvatssonFilms']"
975,The Invention of Lying,2009,"['Comedy', 'Fantasy', 'Romance']",P,100,"['Ricky Gervais', 'Jennifer Garner', 'Jonah Hill', 'Louis C.K.']",NA,6.4,18500000,7027472,18439082 13 December 2009,NA,['English'],"['WarnerBros.', 'RadarPictures', 'MediaRightsCapital(MRC)']"
976,Pirate Radio,2009,"['Comedy', 'Drama', 'Music']",R,135,"['Philip Seymour Hoffman', 'Bill Nighy', 'Nick Frost', 'Michael Hadley']",Richard Curtis,7.4,50000000,2904380,7994115 1 January 2010,NA,['English'],"['UniversalPictures', 'StudioCanal', 'WorkingTitleFilms']"
977,The Bounty Hunter,2010,[],P,110,[],NA,5.6,40000000,20686423,67061228,136333522,"['English', 'Ukrainian']","['ColumbiaPicturesCorporation', 'RelativityMedia', 'OriginalFilm']"
978,Cop Out,2010,[],R,107,[],NA,5.6,37000000,18211126,44875481,55909910,"['English', 'Spanish']","['WarnerBros.', 'MarcPlattProductions']"
979,The Crazies,2010,"['Horror', 'Thriller']",R,101,"['Radha Mitchell', 'Timothy Olyphant', 'Danielle Panabaker', 'Joe Anderson']",Breck Eisner,6.5,20000000,16067552,39123589,56445534,['English'],"['OvertureFilms', 'ParticipantMedia', 'ImagenationAbuDhabiFZ']"
980,Devil,2010,"['Horror', 'Mystery', 'Thriller']",P, 80,"['Chris Messina', 'Caroline Dhavernas', 'Bokeem Woodbine', 'Logan Marshall-Green']",John Erick Dowdle,6.2,10000000,12289375,33583175 14 November 2010,62695489 4 August 2012,"['English', 'Ukrainian', 'Spanish']","['UniversalPictures', 'MediaRightsCapital(MRC)', 'NightChronicles']"
981,Dinner for Schmucks,2010,[],P,114,[],NA,5.9,NA,23527839,73026337,86855739,['English'],"['ParamountPictures', 'DreamWorks', 'SpyglassEntertainment']"
982,From Paris with Love,2010,[],R, 92,[],NA,6.5,52000000,8158860,23979741 7 March 2010,52826594 11 March 2010,"['English', 'French', 'Mandarin', 'German']","['EuropaCorp', 'M6Films', 'GriveProductions']"
983,The Ghost Writer,2010,"['Drama', 'Mystery', 'Thriller']",P,128,"['Ewan McGregor', 'Pierce Brosnan', 'Olivia Williams', 'Jon Bernthal']",Roman Polanski,7.2,45000000,183009,15541549 17 June 2010,73741549 6 May 2011,['English'],"['R.P.Productions', 'France2Cin\\xc3\\xa9ma', 'StudioBabelsberg']"
984,Gulliver\'s Travels,2010,[],P, 85,[],NA,4.9,112000000,6307691,42779261,237382724,['English'],"['TwentiethCenturyFox', 'DuneEntertainment', 'DavisEntertainment']"
985,Hereafter,2010,[],P,129,[],NA,6.5,50000000,220322,32746941,105197635,"['English', 'French']","['WarnerBros.', 'MalpasoProductions', 'TheKennedy/MarshallCompany']"
986,Killers,2010,[],P,100,[],NA,5.4,75000000,15837266,47059963,98159963,['English'],"['Lionsgate', 'AversanoFilms', 'KatalystFilms']"
987,The Last Song,2010,[],P,NA,[],NA,5.9,20000000,16007426,62950384,92678948,['English'],"['TouchstonePictures', 'OffspringEntertainment']"
988,Legend of the Guardians: The Owls of Ga\'Hoole,2010,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",P, 97,"['Jim Sturgess', 'Hugo Weaving', 'David Wenham', 'Emily Barclay']",Zack Snyder,7.0,80000000,16112211,55675313,140073390,['English'],"['WarnerBros.', 'VillageRoadshowPictures', 'AnimalLogic']"
989,The Losers,2010,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",P, 97,"['Idris Elba', 'Zoe Saldana', 'Jeffrey Dean Morgan', 'Chris Evans']",Sylvain White,6.4,25000000,9406348,23580735 20 June 2010,NA,['English'],"['WarnerBros.', 'DarkCastleEntertainment', 'WeedRoadPictures']"
